"_accessInfo_accessViewStatus","_accessInfo_country","_accessInfo_embeddable","_accessInfo_epub_acsTokenLink","_accessInfo_epub_isAvailable","_accessInfo_pdf_acsTokenLink","_accessInfo_pdf_isAvailable","_accessInfo_publicDomain","_accessInfo_quoteSharingAllowed","_accessInfo_textToSpeechPermission","_accessInfo_viewability","_accessInfo_webReaderLink","_etag","_id","_kind","_saleInfo_buyLink","_saleInfo_country","_saleInfo_isEbook","_saleInfo_listPrice_amount","_saleInfo_listPrice_currencyCode","_saleInfo_offers_0_finskyOfferType","_saleInfo_offers_0_giftable","_saleInfo_offers_0_listPrice_amountInMicros","_saleInfo_offers_0_listPrice_currencyCode","_saleInfo_offers_0_retailPrice_amountInMicros","_saleInfo_offers_0_retailPrice_currencyCode","_saleInfo_retailPrice_amount","_saleInfo_retailPrice_currencyCode","_saleInfo_saleability","_searchInfo_textSnippet","_selfLink","_volumeInfo_allowAnonLogging","_volumeInfo_authors_0","_volumeInfo_authors_1","_volumeInfo_averageRating","_volumeInfo_canonicalVolumeLink","_volumeInfo_categories_0","_volumeInfo_contentVersion","_volumeInfo_description","_volumeInfo_imageLinks_smallThumbnail","_volumeInfo_imageLinks_thumbnail","_volumeInfo_industryIdentifiers_0_identifier","_volumeInfo_industryIdentifiers_0_type","_volumeInfo_industryIdentifiers_1_identifier","_volumeInfo_industryIdentifiers_1_type","_volumeInfo_infoLink","_volumeInfo_language","_volumeInfo_maturityRating","_volumeInfo_pageCount","_volumeInfo_panelizationSummary_containsEpubBubbles","_volumeInfo_panelizationSummary_containsImageBubbles","_volumeInfo_previewLink","_volumeInfo_printType","_volumeInfo_publishedDate","_volumeInfo_publisher","_volumeInfo_ratingsCount","_volumeInfo_readingModes_image","_volumeInfo_readingModes_text","_volumeInfo_subtitle","_volumeInfo_title"
"SAMPLE","US","True","http://books.google.com/books/download/Boats_for_Papa-sample-epub.acsm?id=DU7UCQAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.com/books/download/Boats_for_Papa-sample-pdf.acsm?id=DU7UCQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=DU7UCQAAQBAJ&hl=&printsec=frontcover&source=gbs_api","PhXGRjWnClc","DU7UCQAAQBAJ","books#volume","https://play.google.com/store/books/details?id=DU7UCQAAQBAJ&rdid=book-DU7UCQAAQBAJ&rdot=1&source=gbs_api","US","True","9.99","USD","1","True","9990000.0","USD","9990000.0","USD","9.99","USD","FOR_SALE","In this stunning debut, author/illustrator Jessixa Bagley explores the subtle and deep emotions associated with loss in a heartwarming tale that is sure to stay with the reader long after the book is closed. A Neal Porter Book","https://www.googleapis.com/books/v1/volumes/DU7UCQAAQBAJ","True","Jessixa Bagley","","","https://market.android.com/details?id=book-DU7UCQAAQBAJ","Juvenile Fiction","1.1.1.0.preview.3","Buckley and his Mama live in a cozy cabin by the ocean. He loves to carve boats out of the driftwood he finds on the beach nearby. He makes: big boats long boats short boats and tall boats, each one more beautiful than the last, and sends them out to sea. If they don't come back, he knows they've found their way to his papa, whom he misses very much. In this stunning debut, author/illustrator Jessixa Bagley explores the subtle and deep emotions associated with loss in a heartwarming tale that is sure to stay with the reader long after the book is closed. A Neal Porter Book","http://books.google.com/books/content?id=DU7UCQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=DU7UCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9781626724747","ISBN_13","1626724741","ISBN_10","https://play.google.com/store/books/details?id=DU7UCQAAQBAJ&source=gbs_api","en","NOT_MATURE","40","False","False","http://books.google.com/books?id=DU7UCQAAQBAJ&printsec=frontcover&dq=papa&hl=&cd=2&source=gbs_api","BOOK","2015-06-30","Roaring Brook Press","","True","True","","Boats for Papa"
"NONE","US","False","","False","","False","False","False","ALLOWED","NO_PAGES","http://play.google.com/books/reader?id=RcNSvgAACAAJ&hl=&printsec=frontcover&source=gbs_api","jA1JgJnRhMc","RcNSvgAACAAJ","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","I learnt that it is faith that decides whether something will happen or not.At the age of eight, Kakﬂ already knew what it he wanted in life: to play soccer, and only soccer.","https://www.googleapis.com/books/v1/volumes/RcNSvgAACAAJ","False","Jeremy V. Jones","Janna Jones","4.0","https://books.google.com/books/about/Toward_the_Goal.html?hl=&id=RcNSvgAACAAJ","Juvenile Nonfiction","preview-1.0.0","I learnt that it is faith that decides whether something will happen or not.At the age of eight, Kakﬂ already knew what it he wanted in life: to play soccer, and only soccer. He started playing in front of his friends and family, but when he suffered a crippling injury doctors told him he would never play again. Through faith and perseverance Kakﬂ recovered, and today he plays in front of thousands of fans every year. As the 2007 FIFA World Player of the Year and winner of the Ballon d∆Or, this midfielder for Real Madrid has become one of the most recognized faces on the soccer field.","http://books.google.com/books/content?id=RcNSvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=RcNSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","0310720036","ISBN_10","9780310720034","ISBN_13","http://books.google.com/books?id=RcNSvgAACAAJ&dq=kaka&hl=&source=gbs_api","en","NOT_MATURE","114","False","False","http://books.google.com/books?id=RcNSvgAACAAJ&dq=kaka&hl=&cd=2&source=gbs_api","BOOK","2010","Zondervan","1","False","False","The Kak· Story","Toward the Goal"
"SAMPLE","US","True","http://books.google.com/books/download/Toward_the_Goal-sample-epub.acsm?id=S4p2zOEMxh8C&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","","False","False","False","ALLOWED_FOR_ACCESSIBILITY","PARTIAL","http://play.google.com/books/reader?id=S4p2zOEMxh8C&hl=&printsec=frontcover&source=gbs_api","b98Rwpgd+BY","S4p2zOEMxh8C","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","I learnt that it is faith that decides whether something will happen or not.","https://www.googleapis.com/books/v1/volumes/S4p2zOEMxh8C","True","Jeremy V. Jones","","4.0","https://books.google.com/books/about/Toward_the_Goal.html?hl=&id=S4p2zOEMxh8C","Juvenile Nonfiction","1.2.3.0.preview.2","Kak· is arguably the greatest soccer player in the world, but he was once the smallest boy in his class. His life is an example of character, perseverance, commitment, and faith.","http://books.google.com/books/content?id=S4p2zOEMxh8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=S4p2zOEMxh8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9780310590033","ISBN_13","0310590035","ISBN_10","http://books.google.com/books?id=S4p2zOEMxh8C&dq=kaka&hl=&source=gbs_api","en","NOT_MATURE","128","","","http://books.google.com/books?id=S4p2zOEMxh8C&printsec=frontcover&dq=kaka&hl=&cd=1&source=gbs_api","BOOK","2010-04-27","Zondervan","6","False","True","The Kak· Story","Toward the Goal"
"NONE","US","False","","False","","False","False","False","ALLOWED","NO_PAGES","http://play.google.com/books/reader?id=lOfBAQAACAAJ&hl=&printsec=frontcover&source=gbs_api","3AVD/lgd5Ac","lOfBAQAACAAJ","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","&#39;Papa&#39; is the story of the American Dream. It&#39;s the story of starting small and making it big. It&#39;s a story that can inspire anyone to follow their passion and chart their own path.","https://www.googleapis.com/books/v1/volumes/lOfBAQAACAAJ","False","John H. Schnatter","","","https://books.google.com/books/about/PAPA.html?hl=&id=lOfBAQAACAAJ","Biography & Autobiography","preview-1.0.0","How does a pizza business go from a broom closet in the back of a rundown bar to a multinational chain with 5,000 stores and $3.7 billion per year in system-wide sales--and in only 30 years? The answer is simple: It puts its customers and its team members first. That's the story of Papa John's. That's the story of a ""good business."" And it could be the story of anyone who wants to run a company or benefit their community, so long as they're willing to apply the principles and practices that made Papa John's so wildly successful. 'Papa' is the story of the American Dream. It's the story of starting small and making it big. It's a story that can inspire anyone to follow their passion and chart their own path. Whether you're looking for the principles and practices that make a business successful, or you're just looking to read the story of someone who achieved more than they ever thought possible, this book is for you.","http://books.google.com/books/content?id=lOfBAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=lOfBAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","1633933849","ISBN_10","9781633933842","ISBN_13","http://books.google.com/books?id=lOfBAQAACAAJ&dq=papa&hl=&source=gbs_api","en","NOT_MATURE","348","False","False","http://books.google.com/books?id=lOfBAQAACAAJ&dq=papa&hl=&cd=1&source=gbs_api","BOOK","2017-01-30","","","False","False","The Story of Papa John's Pizza","PAPA"
